Salary;Work_Type;Company_Size;Role;Company;percent
47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises;96%
44800;Стажер;100340;Фронтенд веб-разработчик; PNC Financial Services Group;93%
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.;101%
52000;полный рабочий день;129896;инженер беспроводной сети;Hess;110%
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy;105%
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone;98%
50400;временная;26119;классный руководитель;FedEx;103%
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System;109%
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises;106%
48000;полный рабочий день;102069;свадебный консультант;CSX;102%
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка;96%
51200;контракт;117285;адвокат по семейному праву;TPG Telecom;108%
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG;106%
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream;92%
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners;97%
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG;106%
48000;неполный рабочий день;49100;социальный работник в школе;Deere;98%
44000;полный рабочий день;29318;создатель контента;Mondelez International;93%
44000;контракт;126630;Аналитик по доставке; 3M;93%
52000;временный;48199;координатор по кадрам;KKR;108%
49600; полный рабочий день;64351;юридический секретарь;NGL Energy Partners;100%
51200;Стажер;118041;Семейная медсестра;EasyJet;107%
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide;96%
49600;Временная;127385; Бэкэнд разработчик; Oil Search;101%
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies;98%
46400;Временная;81318;Координатор цепочки поставок;DTE Energy;95%
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods;98%
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy;105%
50400;стажер;93670;аналитик центра управления безопасностью;Deutsche Post DHL Group;103%
52000;стажер;56930; фронт-энд разработчик;Bodycote;106%
44000;Стажер;64185;Специалист по планированию налогов;Old Republic International;91%
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings;106%
45600;контракт;130962;клинический психолог;Tenet Healthcare;96%
52000;контракт;38044;инженер-электрик;Regions Financial;109%
49600;Временная;27725;Дизайнер по освещению;CBRE Group;101%
46400;неполный рабочий день;35273; Бизнес-аналитик;Отель Луна;95%
48000;стажер;103693;контент-писатель;Corning;98%
51200;временная;29884;дизайнер пользовательского интерфейса;Leidos Holdings;105%
45600;неполный рабочий день;104700;персональный налоговый консультант;Divi's Laboratories;93%
46400;полный рабочий день;47107;тестировщик автоматизированного оборудования; Tata Consumer Products;99%
44800;стажер;61246; руководитель отдела продаж;Fannie Mae;92%
44000; частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.;98%
49600;стажер;125427;специалист по работе с клиентами;Bajaj Auto;101%
52000;неполный рабочий день;57134;менеджер по социальным сетям;Renishaw;106%
44800;временный;55648;разработчик баз данных;News Corp.;93%
47200;Стажер;107738;Исследователь в области социальных наук;KKR;98%
44800;Временная;91636; Регистратор; Arconic;91%
51200;стажер;43166;штатная медсестра;Revlon;105%
47200;временная;99455;международный налоговый консультант;Dow;97%
45600;временный;21827;аналитик по рискам;Seaboard;95%
49600;временная;65648;логопед;Всезнайка;102%
44000;контракт;65183;региональный директор по продажам;Enterprise Products Partners;93%
47200;полный рабочий день;73840;консультант по вопросам психического здоровья;Bayer AG;100%
47200;частичная занятость;25713; Семейная медсестра-практикант;Carrier Global;98%
51200;Временная;14771;Градостроитель;UnitedHealth Group;104%
48000;Временная;90064;Менеджер по работе со стратегическими клиентами;Avnet;98%
50400;Стажер;48875;Исследователь пользователей;UGI;105%
45600;временный;18334;менеджер по работе с клиентами;Disney+;95%
